Cat.,Model Name,Stock No.,Model,Ext.,Int.,Yr.,VIN,Accessories,DIS,Invoice,Total SRP,Advertised,Online,Promotable,Cmpgn.,Presold,Res.,Comments,RDR
A,bZ Woodland,S272137,2861A,0D31,EA20,2027,JTMBGAHB6VY640626,FE TA,,"47,401.00","49,075.00",49075,Online,true,No campaign,false,N,,None
A,bZ Limited,S272346,2882A,0218,EA20,2027,JTMBDAFB2VA016049,FE 2T 3K BM D5 G4 MF,,"46,620.00","48,424.00",0,Offline,false,No campaign,false,Y,SS#PARLET,None
A,Toyota Crown XLE,S272419,4015A,0090,LA20,2027,JTDAGACF1V3000391,FE PC 2T MF,,"40,726.40","43,894.00",0,Offline,false,No campaign,false,Y,MH#SULLIVAN,None
A,Toyota Crown Signia Limited,S262338,4041Q,0090,LA20,2026,JTDACAAJ5T3056849,FE AT PC 2T,,"49,320.40","53,344.00",53344,Online,true,No campaign,false,N,,None
A,Toyota Crown Signia Limited,S262339,4041Q,03U9,LA20,2026,JTDACAAJ3T3057160,FE AT PC 2T,,"49,320.40","53,344.00",53344,Online,true,No campaign,false,N,,None
A,RAV4 LE,,4435C,0040,FB20,2026,4T36CRAV8TU38F795,FE 2T,,"33,796.40","35,234.00",35234,Online,true,No campaign,false,Y,DL#JOHNSON COUNTY,None
A,RAV4 LE,,4435C,0040,FB20,2026,4T36CRAV2TU39H165,FE 2T,,"33,796.40","35,234.00",35234,Online,true,No campaign,false,Y,DL#JOHNSON COUNTY,None
A,RAV4 LE,,4435C,04V8,FB20,2026,2T36CRAV2TC39E221,FE 2T,,"33,796.40","35,234.00",35234,Online,true,No campaign,false,Y,CD MURRAY,None
A,RAV4 Woodland,,4437C,01L6,EB20,2026,2T36CRAV0TW40I972,FE MR MF,,"40,709.40","42,505.00",42505,Offline,true,No campaign,false,Y,KT#HOLLOWAY,None
A,RAV4 XLE Premium,,4444C,0089,EE10,2026,4T36CRAV7TU41P874,FE CY DA PC SR 2T 4A BM D5 EG MF,,"42,364.40","44,649.00",44649,Online,true,No campaign,false,N,$4V8 09/03 BALLAS JH,None
A,RAV4 XLE Premium,,4444C,0089,EE40,2026,4T36CRAV5TU40M119,FE CY PC SR 2T 4A BM D5 EG MF,,"41,785.40","43,999.00",43999,Online,true,No campaign,false,Y,TH#BOESE,None
A,RAV4 XLE Premium,,4444C,0218,EE40,2026,4T36CRAV9TU38G504,FE CY 2T,,"38,156.40","39,809.00",39809,Online,true,No campaign,false,Y,MW#TRACY,None
A,RAV4 XLE Premium,,4444C,04V8,EE40,2026,2T36CRAV1TC39F781,FE CY 2T,,"38,156.40","39,809.00",39809,Online,true,No campaign,false,Y,MH CONLON,None
A,RAV4 XLE Premium,,4444C,08X8,EE10,2026,4T36CRAV8TU37F168,FE 2T 3T,,"38,089.40","39,754.00",39754,Online,true,No campaign,true,Y,EA#LUTZ,None
A,RAV4 XLE Premium,,4444C,08X8,EE20,2026,4T36CRAV9TU39G210,FE CY 2T D5 MF,,"38,425.40","40,134.00",40134,Online,true,No campaign,false,Y,HS#ROBERTS,None
A,RAV4 SE,,4524C,0040,FC20,2026,4T36CRAV7TU37G702,FE CP CY 2T MF,,"37,304.40","38,969.00",38969,Online,true,No campaign,false,Y,AW JERKWAD,None
A,RAV4 SE,,4524C,0040,FC20,2026,4T36CRAV5TU40L648,FE CP CY 2B 2T 43 4A BM D5 MF,,"39,078.40","41,099.00",41099,Online,true,No campaign,false,N,,None
A,RAV4 SE,,4524C,0040,FC20,2026,4T36CRAV2TU40M059,FE CP CY 2B 2T 43 4A BM D5 MF,,"39,078.40","41,099.00",41099,Online,true,No campaign,false,N,$4V8 AVAILABLE,None
A,RAV4 SE,,4524C,0040,FC20,2026,4T36CRAV3TU41R248,FE CP CY 2B 2T 43 4A BM D5 MF,,"39,078.40","41,099.00",41099,Online,true,No campaign,false,N,,None
A,RAV4 SE,,4524C,0040,FC20,2026,4T36CRAV4TU41R470,FE CP CY 2B 2T 43 4A BM D5 MF,,"39,078.40","41,099.00",41099,Online,true,No campaign,false,N,$1L6 AVAILABLE,None
A,RAV4 SE,,4524C,01L6,FC20,2026,2T36CRAVXTW39J464,FE CP CY 2T D5,,"37,294.40","38,974.00",38974,Offline,true,No campaign,false,Y,HA#RUSTAD,None
A,RAV4 SE,,4524C,01L6,FC20,2026,2T36CRAV3TW40I495,FE CP CY MR 2T MF,,"38,050.40","39,819.00",39819,Offline,true,No campaign,false,Y,MH#COLLINS,None
A,RAV4 SE,,4524C,0218,FC20,2026,4T36CRAV1TU40M439,FE CP CY 2B 2T 43 4A BM D5 MF,,"39,078.40","41,099.00",41099,Online,true,No campaign,false,N,$1L6 AVAILABLE,None
A,RAV4 SE,,4524C,0218,FC20,2026,4T36CRAV1TU41Q650,FE CP CY 2B 2T 43 4A BM D5 MF,,"39,078.40","41,099.00",41099,Online,true,No campaign,false,N,,None
A,RAV4 SE,,4524C,04V8,FC20,2026,2T36CRAV6TW41F067,FE CP CY MR 2T MF,,"38,061.40","39,819.00",39819,Online,true,No campaign,false,N,,None
A,RAV4 SE,,4524C,04V8,FC20,2026,2T36CRAV7TW41F059,FE CP CY 2T BM D5,,"37,513.40","39,234.00",39234,Offline,true,No campaign,false,Y,SS#MUCHUKOTA,None
A,RAV4 SE,,4524C,08X8,FC20,2026,4T36CRAV4TU40M385,FE CP CY MR 2T,,"37,927.40","39,659.00",39659,Online,true,No campaign,false,Y,EA#JOHNSON,None
A,RAV4 SE,,4524C,08X8,FC20,2026,4T36CRAV8TU41Q189,FE,,"36,192.40","37,695.00",37695,Offline,true,No campaign,false,Y,MH#SHELTERHOUSE,None
A,RAV4 XSE,,4530C,0218,EC20,2026,4T36CRAV1TU38G545,FE CY EJ 2T MF,,"42,430.40","44,389.00",44389,Online,true,No campaign,false,N,,None
A,RAV4 XSE,,4530C,0218,EC20,2026,4T36CRAV8TU38G929,FE CY EJ 2T,,"42,296.40","44,229.00",44229,Online,true,No campaign,false,N,,None
A,RAV4 XSE,,4530C,0218,EC20,2026,4T36CRAV3TU39G011,FE CY EJ 2T,,"42,296.40","44,229.00",44229,Online,true,No campaign,false,Y,JV#Bickle,None
A,RAV4 XSE,,4530C,0218,EC20,2026,4T36CRAV7TU39G061,FE CY EJ 2T,,"42,296.40","44,229.00",44229,Online,true,No campaign,false,N,AVAILABLE $ METOR 8/20,None
A,RAV4 XSE,,4530C,0218,EC20,2026,4T36CRAV8TU39G814,FE CY EJ 2T,,"42,296.40","44,229.00",44229,Online,true,No campaign,false,Y,NE MEH,None
A,RAV4 XSE,,4530C,0218,EC20,2026,4T36CRAV0TU40K780,FE CY EJ 2T 43 4A BM D5 MF,,"44,106.40","46,389.00",46389,Online,true,No campaign,false,N,KT $2VP 09/03 KITAMOTO,None
A,RAV4 XSE,,4530C,0218,EC20,2026,4T36CRAV7TU41R043,FE CY EJ 2T 43 4A BM D5 MF,,"44,106.40","46,389.00",46389,Online,true,No campaign,false,N,KT $M22 09/03 SOTH,None
A,RAV4 XSE,,4530C,0218,EC20,2026,4T36CRAV0TU40M271,FE CY EJ 2T 43 4A BM D5 MF,,"44,106.40","46,389.00",46389,Online,true,No campaign,false,N,$2SQ 09/03 AVAILABLE,None
A,RAV4 XSE,,4530C,0218,EC20,2026,4T36CRAV4TU41R291,FE CY EJ 2T 43 4A BM D5 MF,,"44,106.40","46,389.00",46389,Online,true,No campaign,false,N,$0M22 09/03 AVAILABLE,None
A,RAV4 Limited,,4534C,0089,EA10,2026,2T36CRAV3TW40G844,FE HU PC 2T 3J 43 4A BM D5 MF,,"46,130.40","48,558.00",48558,Online,true,No campaign,false,Y,$4V8 DL VAN ZANTE 09/03,None
A,RAV4 Limited,,4534C,0089,EA20,2026,2T36CRAVXTW41E424,FE HU PC WU 63 MF,,"45,364.40","47,569.00",47569,Offline,true,No campaign,false,Y,,None
A,RAV4 Limited,,4534C,01L6,EA10,2026,2T36CRAV1TW39J112,FE HU 2T BM D5 G4 MF,,"44,646.40","46,814.00",46814,Online,true,No campaign,false,Y,DL RHODES,None
A,RAV4 Limited,,4534C,03T3,EA20,2026,2T36CRAV1TW37H974,FE PC 1Y 2B 2T 43 D5 MF,,"44,753.40","46,914.00",46914,Online,true,No campaign,false,Y,DK LAWSON,None
A,RAV4 Limited,,4534C,08X8,EA10,2026,2T36CRAV0TW39E670,FE HU 2T,,"43,824.40","45,834.00",45834,Online,true,No campaign,false,Y,DL TOWNSEND,None
A,RAV4 Plug-in Hybrid SE,S262358,4544A,0040,FC20,2026,JTM7ERAVXTJ038008,FE CP CY 2T BM D5 MF,,"42,777.40","44,794.00",44794,Online,true,No campaign,false,Y,MH #128903SVHOLERMAN,None
A,RAV4 Plug-in Hybrid SE,S262240,4544A,01L6,FC20,2026,JTM7ERAV7TJ035874,FE CP CY MR 2T,,"43,046.40","45,059.00",45059,Online,true,No campaign,false,Y,MH BEASLEY,None
A,RAV4 Plug-in Hybrid XSE,S262353,4550A,02SQ,EC20,2026,JTM7ERAV4TD029416,FE CY EJ TX 2T 3J D5 D9 MF,,"48,781.40","51,218.00",51218,Online,true,No campaign,false,Y,DK#WOODHOUSE,None
A,RAV4 Plug-in Hybrid XSE,S262126,4550A,0M22,EC20,2026,JTM7ERAV7TD026672,FE CY DA EJ SR TX 2T 4A 8J BM D5 E7 EG MF,,"51,843.40","54,739.00",54739,Online,true,No campaign,false,Y,SS#LASWELL,None
A,Sienna XLE,,5407S,01L5,EA15,2026,5TDYSKFC0TS40D542,FE AC EJ EY PC 2T BM MF,,"49,526.40","53,075.00",53075,Online,true,No campaign,false,Y,DK#lisonbee,None
A,Sienna XLE,,5407S,0218,EA15,2026,5TDYSKFC0TS39C493,FE 2T,,"46,704.40","49,885.00",49885,Online,true,No campaign,false,Y,CD MEANDON,None
A,Sienna XLE,,5407S,0218,EA15,2026,5TDYSKFC8TS38E237,FE AA AC EJ ST 2T MF,,"48,171.40","51,540.00",51540,Online,true,No campaign,false,Y,HS#Recker,None
A,Sienna XLE,,5407S,03T3,EA15,2026,5TDYSKFC1TS39B756,FE AC EJ EY PC 2T,,"49,173.40","52,655.00",52655,Online,true,No campaign,false,Y,BB#Monson,None
A,Sienna XLE,,5407S,03T3,EA15,2026,5TDYSKFC1TS40C514,FE AC EJ EY PC 2T MF,,"49,307.40","52,815.00",52815,Online,true,No campaign,false,N,,None
A,Sienna XLE,,5407S,03T3,EA15,2026,5TDYSKFC9TS41C580,FE AC EJ EY PC 2T MF,,"49,307.40","52,815.00",52815,Online,true,No campaign,false,N,,None
A,Sienna Woodland Edition,,5409S,01H5,EB22,2026,5TDCSKFC3TS39C353,FE EY WO,,"51,503.40","55,110.00",55110,Online,true,No campaign,false,N,,None
A,Sienna Woodland Edition,,5409S,01H5,EB22,2026,5TDCSKFC7TS41B437,FE EY WO,,"51,503.40","55,110.00",55110,Online,true,No campaign,false,N,,None
A,Sienna Limited,,5415S,0218,LA25,2026,5TDZSKFC0TS38D510,FE AC EY IM ST 2T,,"53,813.40","57,660.00",57660,Online,true,No campaign,false,N,,None
A,Sienna Limited,,5415S,03T3,LA42,2026,5TDZSKFC1TS37C709,FE AC EY IM PC ST 2T,,"54,236.40","58,135.00",58135,Online,true,No campaign,false,Y,EV#,None
A,Sienna Limited,,5415S,08X8,LA25,2026,5TDZSKFC7TS41C307,FE AC EY IM ST 2T R5,,"53,931.40","57,800.00",57800,Online,true,No campaign,false,N,,None
A,Sienna Platinum,,5419S,0089,LB25,2026,5TDESKFC9TS37B371,FE AC EY IM PC PT VC 2G,,"58,670.40","62,965.00",62965,Online,true,No campaign,false,N,,None
A,Sienna Platinum,,5419S,0089,LB25,2026,5TDESKFC2TS39C904,FE AC EY IM PC PT ST VC 2G,,"58,565.40","62,840.00",62840,Online,true,No campaign,false,N,,None
A,Sienna Platinum,,5419S,01L5,LB25,2026,5TDESKFCXTS41D241,FE AC EY IM PC PT ST VC 1S BM G4 MF,,"59,374.40","63,735.00",63735,Online,true,No campaign,false,N,,None
A,Sienna Platinum,,5419S,03T3,LB25,2026,5TDESKFC5TS39B701,FE AC EY IM PC PT ST VC 2G,,"58,565.40","62,840.00",62840,Online,true,No campaign,false,N,$ 1l5 (AVAILABLE),None
A,Sienna Platinum,,5419S,03T3,LB42,2026,5TDESKFC5TS37C534,FE AC EY IM PC PT ST VC 2G 59 G4,,"58,960.40","63,305.00",63305,Online,true,No campaign,false,Y,CD#Fruitt,None
A,Land Cruiser,S272389,6167C,04V8,LB40,2027,JTEABFAJ9VK082794,FE AA PP SF TL 62 G4,,"67,414.40","72,650.00",72650,Online,true,No campaign,false,N,,None
A,Corolla Hatchback XSE,S272374,6274A,01G3,LA10,2027,JTNC4MBEXV3276690,FE SZ 2T B0 BM J7 MF,,"29,095.40","30,925.00",0,Offline,false,No campaign,false,N,,None
A,Corolla Cross L,,6302S,01K3,FA10,2026,7MUAAABG3TV39B657,FE 2T,,"27,516.40","28,539.00",28539,Online,true,No campaign,false,N,,None
A,Corolla Cross L,,6302S,0D10,FA10,2026,7MUAAABG9TV41C513,FE 2T MF,,"27,650.40","28,699.00",28699,Online,true,No campaign,false,N,,None
A,Corolla Cross XLE,,6306S,0089,EA20,2026,7MUDAABG6TV40C129,FE CP EJ PC 2T MF,,"34,464.40","36,299.00",36299,Online,true,No campaign,false,N,,None
A,Corolla Cross XLE,,6306S,0D11,EA20,2026,7MUDAABG8TV41B625,FE CP EJ 2T MF,,"34,041.40","35,824.00",35824,Online,true,No campaign,false,N,,None
A,Grand Highlander XLE,,6708S,0089,EA20,2026,5TDAAAB57TS38I544,FE BS PC 2T,,"45,619.40","49,088.00",49088,Online,true,No campaign,false,Y,JO#LOPEZ,None
A,Grand Highlander XLE,,6708S,0218,EA20,2026,5TDAAAB53TS39E728,FE SR 2T,,"46,398.40","49,963.00",49963,Online,true,No campaign,false,Y,MH RILEY,None
A,Grand Highlander XLE,,6708S,0218,EA20,2026,5TDAAAB53TS38H536,FE 2T,,"45,196.40","48,613.00",48613,Online,true,No campaign,false,Y,JH HYDER,None
A,Grand Highlander Limited,,6710S,03T3,LC20,2026,5TDAAAB58TS37F317,FE PC SB 2T,,"50,472.40","54,418.00",54418,Online,true,No campaign,false,Y,SS#ANDRUCH,None
A,Grand Highlander Platinum,,6712S,01L5,LB40,2026,5TDAAAB55TS39F248,FE PC 2T J6,,"53,958.40","58,248.00",58248,Online,true,No campaign,false,Y,MG#Vedipo,None
A,Grand Highlander Platinum,,6712S,0218,LB10,2026,5TDAAAB58TS39F714,FE 2T G4 MF,,"53,712.40","57,983.00",57983,Online,true,No campaign,false,N,,None
A,Grand Highlander Platinum,,6712S,03T3,LB20,2026,5TDAAAB52TS38H947,FE PC 2T,,"53,667.40","57,903.00",57903,Online,true,No campaign,false,N,,None
A,Grand Highlander Hybrid XLE,,6716S,01J9,EA10,2026,5TDABAA59TS40G153,FE 2T,,"45,512.40","48,763.00",48763,Online,true,No campaign,false,N,$1j9 JH,None
A,Grand Highlander Hybrid XLE,,6722S,0089,EA10,2026,5TDACAB51TS37F380,FE PC 2T,,"47,402.40","50,838.00",50838,Online,true,No campaign,false,Y,KT#Tedroe,None
A,Grand Highlander Hybrid Limited,,6724S,0089,LC10,2026,5TDACAB52TS41G325,FE BS PC SB 2T 3T 43 DH,,"53,684.40","57,773.00",57773,Online,true,No campaign,false,Y,AW#CLARK,None
A,Grand Highlander Hybrid Limited,,6724S,01L5,LC20,2026,5TDACAB52TS38G937,FE PC SB SR 2T,,"53,474.40","57,518.00",57518,Online,true,No campaign,false,Y,HS  SEWARD,None
A,Grand Highlander Hybrid Limited,,6724S,01L5,LC20,2026,5TDACAB56TS38I156,FE PC SB SR 2T 3T 43 87 D5 DH,,"55,116.40","59,393.00",59393,Online,true,No campaign,false,Y,DL JENSEN,None
A,Grand Highlander Hybrid Limited,,6724S,0218,LC10,2026,5TDACAB53TS38G560,FE SB 2T BM D5 MF,,"52,355.40","56,298.00",56298,Online,true,No campaign,false,Y,MH Farrier,None
A,Grand Highlander Hybrid Limited,,6724S,0218,LC20,2026,5TDACAB54TS39H065,FE SR 2T DH,,"53,352.40","57,373.00",57373,Online,true,No campaign,false,N,DL $SB SCHILLING 8/31,None
A,Grand Highlander Hybrid Limited,,6724S,08X8,LC20,2026,5TDACAB54TS38H216,FE SB 3C 43 MF V1,,"52,623.40","56,582.00",56582,Online,true,No campaign,false,Y,DK DESIMONE,None
A,Grand Highlander Hybrid MAX Platinum,,6732S,0218,LA40,2026,5TDADAB53TS40F802,FE 2T 3C D5 FL,,"59,432.40","64,191.00",64191,Online,true,No campaign,false,Y,CD#KIRK,None
A,Grand Highlander Hybrid MAX Platinum,,6732S,03T3,LA20,2026,5TDADAB55TS41G123,FE PC 3P 3T 87 BM D5 DH G4 J6 MF PL,,"60,730.40","65,564.00",65564,Online,true,No campaign,false,Y,HS,None
A,Grand Highlander Hybrid Nightshade,,6733S,0089,LD20,2026,5TDACAB56TS39G662,FE BK PC 2T MF,,"52,769.40","56,708.00",56708,Online,true,No campaign,false,Y,MH#CARIENS,None
A,Grand Highlander Hybrid Nightshade,,6733S,01H5,LD20,2026,5TDACAB57TS31I858,FE BK SB SR 2T BM MF,,"54,319.40","58,463.00",58463,Online,true,No campaign,false,Y,KT#DELLAMUTH,None
A,Grand Highlander Hybrid Nightshade,,6733S,0218,LD20,2026,5TDACAB5XTS39H331,FE BK SB SR 2T 43 DH,,"55,086.40","59,303.00",59303,Online,true,No campaign,false,Y,HR BLANCHARD,None
A,Highlander XLE,,6953S,08X8,EB10,2026,5TDKDRBH8TS41A118,FE 2T,,"44,867.40","48,253.00",48253,Online,true,No campaign,false,Y,CD#,None
A,Highlander Platinum,,6957S,03T3,LA20,2026,5TDKDRBH4TS39A885,FE PC PT 2T,,"52,281.40","56,383.00",56383,Online,true,No campaign,false,N,,None
A,Highlander Platinum,,6957S,03T3,LA41,2026,5TDKDRBH2TS39A884,FE PC PT 2T DH,,"52,975.40","57,142.00",57142,Online,true,No campaign,false,Y,EA#MASON,None
A,Highlander Hybrid Limited,,6966S,0089,LB20,2026,5TDXBRCH5TS40A172,FE PC SB 2T 3P BM DH EF,,"53,247.40","57,321.00",57321,Online,true,No campaign,false,Y,HS#FORTIN,None
A,Tacoma Limited,,7534U,0089,EB20,2026,3TYLC5LN0TT40A921,FE LT MG PC 2T Q4,,"56,297.40","59,994.00",59994,Online,true,No campaign,false,N,,None
A,Tacoma Limited,,7534U,0202,EB20,2026,3TYLC5LN3TT38D855,FE LT MG 2T Q4,,"55,874.40","59,519.00",59519,Online,true,No campaign,false,N,,None
A,Tacoma SR5,,7540U,01J9,FF10,2026,3TMLB5JN2TM41B257,FE SP ST 2T MF,,"43,966.40","46,734.00",46734,Online,true,No campaign,false,N,,None
A,Tacoma SR5,,7540U,0202,FF20,2026,3TMLB5JN5TM40C780,FE SM ST 2T MF,,"43,313.40","45,999.00",45999,Online,true,No campaign,false,N,,None
A,Tacoma SR5,,7540U,03U5,FF20,2026,3TYLB5JN7TT41A481,FE PC SP ST 2T MF,,"44,389.40","47,209.00",47209,Online,true,No campaign,false,N,,None
A,Tacoma TRD Sport,,7542U,0202,FE12,2026,3TMLB5JN2TM37B312,FE PY 2T MF,,"43,165.40","45,724.00",45724,Online,true,No campaign,false,N,,None
A,Tacoma TRD Sport,,7542U,03U5,FE12,2026,3TYLB5JN1TT38C922,FE MR PC PU 2T MF,,"48,552.40","51,889.00",51889,Online,true,No campaign,false,N,,None
A,Tacoma TRD Off-Road,,7544U,0040,FD12,2026,3TMLB5JN0TM38D149,FE OU 2T MF,,"47,641.40","50,864.00",50864,Online,true,No campaign,false,N,,None
A,Tacoma TRD Off-Road,,7544U,01L7,FD12,2026,3TMLB5JN7TM39D256,FE OU 2T MF,,"47,641.40","50,864.00",50864,Online,true,No campaign,false,N,,None
A,Tacoma TRD Off-Road,S262157,7544U,0202,FD12,2026,3TMLB5JN4TM320633,FE CY EE OC MF,,"44,562.40","47,255.00",47255,Online,true,No campaign,false,N,GMP,None
A,Tacoma TRD Off-Road,,7544U,0202,FD12,2026,3TMLB5JN2TM40D191,FE OU 2T MF,,"47,641.40","50,864.00",50864,Online,true,No campaign,false,N,,None
A,Tacoma TRD Off-Road,,7544U,0202,FD12,2026,3TMLB5JN9TM41A624,FE OU 2T 5A 8Q E6 MF R6 T6,,"50,079.40","53,553.00",53553,Online,true,No campaign,false,N,,None
A,Tacoma TRD Off-Road,,7544U,03U5,FD12,2026,3TYLB5JN5TT40A600,FE CY EE OC PC 2T MF,,"45,140.40","47,929.00",47929,Online,true,No campaign,false,N,,None
A,Tacoma TRD Sport,,7566U,03U5,FE12,2026,3TYLB5JN1TT39E178,FE LV PC PU 2T MF,,"48,241.40","51,539.00",51539,Online,true,No campaign,false,N,,None
A,Tacoma TRD Off-Road,,7568U,08X0,EA20,2026,3TMLB5JN9TM38C565,FE LV OF 2T 9K D5 MF,,"52,634.40","56,508.00",56508,Online,true,No campaign,false,Y,MG#MARTINEZ,None
A,Tacoma Limited,,7582U,0089,EB10,2026,3TYLB5JN2TT40A117,FE LT MG PC 2T,,"52,667.40","55,989.00",55989,Online,true,No campaign,false,N,,None
A,Tacoma Limited,,7582U,0089,EB20,2026,3TYLB5JN6TT38E827,FE LT MG PC 2T Q4,,"53,234.40","56,669.00",56669,Online,true,No campaign,false,N,,None
A,Tacoma Limited,,7582U,08X0,EB20,2026,3TMLB5JNXTM40B611,FE LT MG 2T,,"52,244.40","55,514.00",55514,Online,true,No campaign,false,N,,None
A,Sequoia Limited,,7949S,0218,LD21,2026,7SVAAABA1TX40B673,FE AH BU EJ 2T D5,,"72,263.40","78,493.00",78493,Online,true,No campaign,false,N,,None
A,Sequoia Capstone,,7955S,0089,LC15,2026,7SVAAABAXTX39A561,FE CS PC 2T,,"82,029.40","89,193.00",89193,Online,true,No campaign,false,N,,None
A,Sequoia 1794 Edition,,7957S,0218,LB44,2026,7SVAAABA7TX41A412,FE HU LW D5,,"78,689.40","85,495.00",85495,Online,true,No campaign,false,N,,None
A,Tundra Limited,,8372A,01G3,LD21,2026,5TFJA5DB3TX37A062,FE LZ WS 2T,,"57,064.40","60,789.00",60789,Online,true,No campaign,false,N,,None
A,Tundra Limited,,8372A,01G3,LD21,2026,5TFJA5DB3TX37B776,FE LZ WS 2T,,"57,064.40","60,789.00",60789,Online,true,No campaign,false,N,,None
A,Tundra Limited,,8372A,0218,LD21,2026,5TFJA5DB2TX38B747,FE LZ WS 2T,,"57,064.40","60,789.00",60789,Online,true,No campaign,false,N,,None
A,Tundra Limited,,8372A,03U5,LD13,2026,5TFJA5DB8TX38A814,FE EJ LX LY LZ MO PC WS 2T,,"59,188.40","63,174.00",63174,Online,true,No campaign,false,N,,None
A,Tundra Limited,,8372A,03U5,LD13,2026,5TFJA5DB3TX37B549,FE LZ PC WS 2T,,"57,487.40","61,264.00",61264,Online,true,No campaign,false,N,,None
A,Tundra Limited,,8372A,03U5,LD21,2026,5TFJA5DB7TX36C966,FE LZ PC WS 2T,,"57,487.40","61,264.00",61264,Online,true,No campaign,false,N,,None
A,Tundra Limited,,8372A,03U5,LD21,2026,5TFJA5DB8TX38D373,FE LZ PC WS 2T,,"57,487.40","61,264.00",61264,Online,true,No campaign,false,N,,None
A,Tundra Platinum,,8375A,06X3,LA21,2026,5TFNA5DB6TX37A476,FE RB 2T,,"65,960.40","70,439.00",70439,Online,true,No campaign,false,N,,None
A,Tundra Platinum,,8385A,01G3,LA21,2026,5TFWA5EC3TX38B821,FE MQ OF RB ST,,"68,649.40","73,420.00",73420,Online,true,No campaign,false,N,,None
A,Tundra Limited,,8421A,06X3,LD21,2026,5TFJC5DB2TX36C013,FE EJ LX LY MO 2T,,"61,694.00","65,864.00",65864,Online,true,No campaign,false,N,,None
A,Tundra Platinum,,8422A,01G3,LA21,2026,5TFNC5DB9TX37D298,FE HU RB 2T,,"70,095.00","74,949.00",74949,Online,true,No campaign,false,N,,None
A,4Runner Limited,S262391,8632S,01L7,LA45,2026,JTEVB5BR4T5057314,FE DG EC LT MR 63 R5,,"59,597.40","63,909.00",63909,Online,true,No campaign,false,N,,None
