Cat.,Model Name,Stock No.,Model,Ext.,Int.,Yr.,VIN,Accessories,DIS,Invoice,Total SRP,Advertised,Online,Promotable,Cmpgn.,Presold,Res.,Comments,RDR
G,Tundra SR5,S261884,8361A,08X8,FB21,2026,5TFLA5DB2TX442499,FE 2T 3J 88 D5 E6,12,"52,909.40","56,396.00",52915,Online,true,No campaign,false,N,,None
G,Tundra Limited,S261907,8372A,0040,LD21,2026,5TFJA5DB6TX445994,FE 2T 3J 8Q,6,"57,066.40","60,845.00",57144,Online,true,No campaign,false,N,,None
G,Tundra Limited,S261909,8372A,0218,LD21,2026,5TFJA5DB4TX447288,FE LZ WS 2T,7,"57,064.40","60,789.00",57164,Online,true,No campaign,false,N,,None
G,Tundra Platinum,S261741,8375A,01G3,LA21,2026,5TFNA5DB7TX439526,FE HU RB TD 2T,29,"67,251.40","71,889.00",67256,Offline,true,No campaign,false,N,EA,New Interface
G,Tundra Platinum,S261733,8375A,08X8,LA21,2026,5TFNA5DB6TX438741,FE HU RB 2T,35,"66,494.40","71,039.00",66508,Online,true,No campaign,false,N,,None
G,Tundra Platinum,S261761,8375A,08X8,LA21,2026,5TFWA5DB0TX438450,FE HU OF RB SO 2T,29,"68,435.40","73,219.00",68508,Online,true,No campaign,false,N,SETH DEMO,None
G,Tundra 1794 Edition,S261747,8376A,01G3,LB44,2026,5TFMA5DB9TX438387,FE HU LW MJ LB,28,"66,332.40","70,774.00",66335,Online,true,No campaign,false,N,,None
G,Tundra 1794 Edition,S261891,8376A,01G3,LB44,2026,5TFMA5DB3TX445111,FE MJ OF SO TD,3,"67,899.40","72,565.00",67904,Online,true,No campaign,false,N,,None
GP,Tundra 1794 Edition,S262192,8376A,01J9,LB44,2026,5TFMA5DB5TX419903,FE MJ OF RB SO 3E 3P 87 D5 LB PH W1 XX,36,"69,803.31","78,271.00",69807,Online,true,No campaign,false,N,,None
G,Tundra 1794 Edition,S261660,8376A,01J9,LB44,2026,5TFMA5DB9TX436154,FE LW MJ RB TD,35,"67,197.40","71,775.00",67199,Online,true,No campaign,false,N,,None
G,Tundra 1794 Edition,S261735,8376A,01J9,LB44,2026,5TFMA5DB6TX439304,FE LW MJ RB TD,35,"67,197.40","71,775.00",67199,Online,true,No campaign,false,N,,None
G,Tundra 1794 Edition,S261835,8376A,01J9,LB44,2026,5TFMA5DB6TX442588,FE LW MJ RB TD,16,"67,197.40","71,775.00",67199,Online,true,No campaign,false,N,,None
G,Tundra 1794 Edition,S261744,8376A,0218,LB44,2026,5TFMA5DB1TX439484,FE LW MJ RB,28,"66,440.40","70,925.00",66443,Online,true,No campaign,false,N,john demo,None
G,Tundra TRD Pro,S261820,8424A,0040,EB33,2026,5TFPC5DB3TX148590,FE TD TR,16,"70,774.00","75,610.00",71754,Online,true,No campaign,false,N,,None
G,Tundra Capstone,S261571,8425A,03U5,LC15,2026,5TFVC5DB2TX144831,FE MQ NF PC TD 2T,69,"80,158.00","85,854.00",80161,Online,true,No campaign,false,N,400 miles,None
G,4Runner Trailhunter,S261752,8636Q,06X7,EB63,2026,JTEVB5BR9T5051377,FE DG TK 87,20,"65,395.40","70,175.00",69600,Online,true,No campaign,false,N,,None
GP,4Runner Limited,S262186,8668A,0202,LA20,2026,JTEVA5BR8T5077441,FE EC KH LT MR TL 3P 63 6L 87 9V BM D5 MF R5,36,"54,499.46","61,957.00",54505,Online,true,No campaign,false,N,5730 miles,None
G,4Runner TRD Sport Premium,S262029,8673Q,08X0,EA20,2026,JTEVA5BR6T5156641,FE EC MR RQ 63,5,"54,696.40","58,603.00",58603,Online,true,No campaign,false,N,,None
F,Prius LE,S272115,1223A,0089,FB20,2027,JTDACAAU2V3085755,FE PC RC 2T,,"29,573.40","30,879.00",30879,Online,true,No campaign,false,Y,DL#Johnson County',None
F,Prius Plug-in Hybrid XSE Premium,S272148,1239A,08Q4,EA22,2027,JTDACACU2V3086062,FE DV GX SD 2T,,"42,346.40","43,449.00",43449,Online,true,No campaign,false,N,,None
F,Prius LE AWD,S271826,1263A,08Q4,FB20,2027,JTDADABU8V3037365,FE RC 62 63,,"30,492.40","31,804.00",31804,Online,true,No campaign,false,Y,JO#LEE,None
F,Corolla LE,S261963,1852Q,01K3,FB10,2026,5YFB4MDE5TP505987,FE 2T,,"23,385.40","24,729.00",24729,Online,true,No campaign,false,Y,JH#Pena,None
F,Corolla LE,S262101,1852Q,0218,FB20,2026,5YFB4MDE2TP507633,FE 2T,,"23,385.40","24,729.00",24729,Online,true,No campaign,false,Y,KD GARDNER,None
F,Corolla LE,S262049,1852Q,08X8,FB10,2026,5YFB4MDE6TP504136,FE LQ 2T D5,,"24,530.40","26,029.00",26029,Online,true,No campaign,false,Y,BB JOHNSTON,None
F,Corolla SE,S261975,1864Q,0089,FC23,2026,5YFP4MCE3TP297065,FE PC SO 2T,,"26,969.40","28,609.00",28609,Online,true,No campaign,false,Y,TH#Davis,None
F,Corolla XSE,S261979,1866Q,0089,EB20,2026,5YFT4MCE0TP298592,FE EN PC 2T,,"29,736.40","31,519.00",31519,Online,true,No campaign,false,N,,None
F,Corolla Hybrid LE,,1882A,0040,FB20,2027,JTDBCMFE7V3169836,FE LQ 2T,,"26,331.40","27,914.00",0,Offline,false,No campaign,false,N,,None
F,Corolla Hybrid LE AWD,S272393,1883A,0089,FB10,2027,JTDBDMHE1V3039769,FE LQ PC 2T,,"28,075.40","29,789.00",0,Offline,false,No campaign,false,Y,MH#IMON,None
F,bZ Woodland,S261845,2861A,0D32,EA20,2026,JTMBGAHB2TY616692,FE,,"47,325.00","48,995.00",48995,Online,true,No campaign,false,N,,None
F,Toyota Crown Limited,S261981,4020M,01L5,LA00,2026,JTDAAAAF6T3052293,FE AT LT PC 2T,,"47,683.40","51,609.00",51609,Online,true,No campaign,false,Y,MH#DeGrazia,None
F,Toyota Crown Signia Limited,S261964,4041Q,01L6,LA40,2026,JTDACAAJ5T3054535,FE AT 2T,,"48,897.40","52,869.00",52869,Online,true,No campaign,false,Y,AW#Schultz,None
F,Toyota Crown Signia Limited,S261977,4041Q,0202,LA20,2026,JTDACAAJ0T3055320,FE AT 2T,,"48,897.40","52,869.00",52869,Online,true,No campaign,false,N,,None
F,RAV4 LE,S261841,4435C,04V8,FB20,2026,2T36CRAV7TC039573,FE 2T,,"33,796.40","35,234.00",35234,Online,true,No campaign,true,Y,KT#SMIGOWSKI,None
F,RAV4 XLE Premium,S261970,4444C,01L6,EE20,2026,2T36CRAV4TC041426,FE 2T,,"37,821.40","39,434.00",39434,Online,true,No campaign,true,Y,TS#WOLFE,None
F,RAV4 XLE Premium,S262091,4444C,04V8,EE20,2026,2T36CRAV2TC042817,FE CY 2T,,"38,156.40","39,809.00",39809,Online,true,No campaign,true,Y,JH#BENTLEY,None
F,RAV4 SE,S261958,4524C,01L6,FC20,2026,2T36CRAV1TW102374,FE CP CY 2T D5,,"37,305.40","38,974.00",38974,Online,true,No campaign,false,Y,SS#ALLAN,None
F,RAV4 SE,S262121,4524C,01L6,FC20,2026,2T36CRAV8TW104607,FE CY 2T,,"36,814.40","38,409.00",38409,Online,true,No campaign,false,Y,MW#ALLMON,None
F,RAV4 Plug-in Hybrid Woodland,S261993,4537A,0218,EB60,2026,JTM7ERAV0TD022253,FE,,"44,894.40","46,895.00",46895,Online,true,No campaign,false,Y,KD#Hanson,None
F,Sienna XLE,S262008,5407S,0089,EA15,2026,5TDYSKFC1TS288848,FE AC EJ EY PC 2T,,"49,173.40","52,655.00",52655,Online,true,No campaign,false,Y,MH HOFFMAN,None
F,Sienna Woodland Edition,S262176,5409S,01H5,EB22,2026,5TDCSKFC2TS287668,FE WO 3P D9 MF,,"50,805.40","54,389.00",54389,Online,true,No campaign,false,Y,HS GARRINGER,None
F,Sienna Limited,S262082,5415S,01L5,LA25,2026,5TDZSKFCXTS288836,FE AC IM PC 2T EF MF,,"53,263.40","57,074.00",57074,Online,true,No campaign,false,Y,EA#KERR,None
F,Sienna Platinum,S262106,5419S,03T3,LB25,2026,5TDESKFC3TS288997,FE AC IM PC PT ST VC 2G,,"57,304.40","61,425.00",61425,Online,true,No campaign,false,Y,JV STROUP,None
F,Sienna Platinum,S262260,5419S,03T3,LB25,2026,5TDESKFC1TS290134,FE AC EY IM PC PT ST VC 2G,,"58,565.40","62,840.00",62840,Online,true,No campaign,false,N,,None
F,Land Cruiser,S272185,6167C,0040,LB20,2027,JTEABFAJ8VK080700,FE AA PP SF TL 62 6E,,"67,130.40","72,310.00",72310,Online,true,No campaign,false,Y,DL BURKLE,None
F,Land Cruiser,S271867,6167C,01L7,LB20,2027,JTEABFAJ4VK078281,FE AA PP SF TL 62,,"67,067.40","72,235.00",72235,Online,true,No campaign,false,Y,HR#NORDMAN,None
F,Land Cruiser,S272183,6167C,0229,LB20,2027,JTEABFAJ6VK080341,FE AA CC PP SF TL 62,,"67,219.40","72,405.00",72405,Online,true,No campaign,false,Y,DT#Serra Toyota,None
F,Land Cruiser,S271866,6167C,0229,LB20,2027,JTEABFAJ7VK079800,FE AA PP SF TL 62 6E,,"67,130.40","72,310.00",72310,Online,true,No campaign,false,Y,HS#Rudd,None
F,Land Cruiser,S272390,6167C,02ZD,LB20,2027,JTEABFAJ8VK082513,FE AA PJ PP SF TL 62 6E BM D5 G4,,"68,161.40","73,520.00",73520,Online,true,No campaign,false,Y,motor inn,None
F,Land Cruiser,S272164,6167C,08X0,LB20,2027,JTEABFAJ6VK080291,FE AA PP SF TL 62 D5,,"67,205.40","72,403.00",72403,Online,true,No campaign,false,Y,SJ VOSS,None
F,GR86 Premium MT,S272138,6255A,0P8Y,AM20,2027,JF1ZNBE15V9750010,FE AK PP 12 2T 37 KG,,"42,243.40","44,287.00",44287,Online,true,No campaign,false,N,,None
F,Corolla Cross LE,S262074,6304S,01K3,FA10,2026,7MUCAABG7TV205669,FE CY 2T,,"29,911.40","31,369.00",31369,Online,true,No campaign,false,Y,KT COLLINS,None
F,Corolla Cross XLE,S262031,6306S,0089,EA20,2026,7MUDAABG4TV206279,FE CP PC 2T 3T BM D5,,"34,257.40","36,094.00",36094,Online,true,No campaign,false,Y,MW#BULLIS,None
F,Corolla Cross XLE,S262206,6306S,0D11,EA20,2026,7MUDAABG3TV206452,FE CP 2T KG,,"33,212.40","34,884.00",34884,Online,true,No campaign,false,Y,HR LEVI,None
F,Corolla Cross Hybrid XSE,S262163,6316S,0D11,EB20,2026,7MUFBABG0TV119114,FE CP 2T,,"35,215.40","36,984.00",36984,Online,true,No campaign,false,Y,JH GRAY,None
FI,Grand Highlander Platinum,S261919,6712S,0089,LB10,2026,5TDAAAB52TS149480,FE PC 2T 3C D5 FL J6 MF PL,,"55,860.40","60,606.00",60606,Online,true,No campaign,false,Y,SS#GOLDMAN,None
F,Grand Highlander Hybrid XLE,S262175,6722S,01J9,EA10,2026,5TDACAB59TS126692,FE SR 2T,,"48,181.40","51,713.00",51713,Online,true,No campaign,false,Y,DL PARKER,None
F,Highlander XLE,S262182,6953S,0089,EB20,2026,5TDKDRBH4TS620162,FE EE PC 2T,,"45,944.40","49,463.00",49463,Online,true,No campaign,false,Y,NF PALMER,None
F,Highlander Hybrid Platinum,S262135,6967S,01L5,LA10,2026,5TDEBRCH1TS732581,FE PC PT 2T 3P,,"54,444.40","58,572.00",58572,Online,true,No campaign,false,Y,MH KEECH,None
F,Tacoma SR5,S261883,7540U,0040,FF20,2026,3TMLB5JN6TM312999,FE SP 2T MF T6,,"43,964.40","46,738.00",46738,Online,true,No campaign,false,N,,None
F,Tacoma SR5,S262019,7540U,03U5,FF20,2026,3TYLB5JN8TT153827,FE PC SP 2T,,"44,169.40","46,959.00",46959,Online,true,No campaign,false,N,,None
F,Tacoma SR5,S261908,7540U,03U5,FF20,2026,3TYLB5JN6TT150599,FE PC SP ST 2T,,"44,244.40","47,044.00",47044,Online,true,No campaign,false,N,,None
F,Tacoma TRD Sport,S262024,7542U,0202,FE11,2026,3TMLB5JN7TM313756,FE CY EE PY 2T,,"44,293.40","46,989.00",46989,Online,true,No campaign,false,Y,DT#ELGIN,None
F,Tacoma Limited,S262017,7582U,06X1,EB20,2026,3TMLB5JN4TM313617,FE LT MG TD 2T,,"53,001.40","56,364.00",56364,Online,true,No campaign,false,Y,DL#Phan,None
